Kategori,pengalaman,label
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif menggerakkan komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memimpin komunitas belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","inovatif dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memotivasi rekan guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mendorong partisipasi","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berinisiatif dalam belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif di sekolah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","aktif di wilayah","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","kolaborasi antar guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","pengaruh positif","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mengorganisir kegiatan belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","komunitas belajar kuat","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mengembangkan komunitas belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berperan penting dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memfasilitasi diskusi","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","menggalang semangat belajar","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","pioneer dalam komunitas","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","berbagi pengetahuan","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","mentor bagi guru","Guru penggerak telah melakukan peran dengan baik"
"Menjadi penggerak dalam komunitas belajar bagi rekan guru di sekolah dan wilayahnya","memupuk semangat belajar","Guru penggerak telah melakukan peran dengan baik"
